location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,latitude,longitude
Aruba,2020-05-15,101,0,3,0,945.994,0,28.099,0,106766,584.8,
Afghanistan,2020-05-15,5339,113,136,6,137.149,2.903,3.494,0.154,38928341,54.422,
Angola,2020-05-15,48,3,2,0,1.46,0.091,0.061,0,32866268,23.89,
Anguilla,2020-05-15,3,0,0,0,199.973,0,0,0,15002,,
Albania,2020-05-15,898,18,31,0,312.044,6.255,10.772,0,2877800,104.871,
Andorra,2020-05-15,761,1,49,0,9849.22,12.942,634.181,0,77265,163.755,
United Arab Emirates,2020-05-15,21084,698,208,2,2131.764,70.573,21.03,0.202,9890400,112.442,
Argentina,2020-05-15,7121,255,353,24,157.559,5.642,7.81,0.531,45195777,16.177,
Armenia,2020-05-15,3860,142,49,1,1302.631,47.921,16.536,0.337,2963234,102.931,
Antigua and Barbuda,2020-05-15,25,0,3,0,255.29,0,30.635,0,97928,231.845,
Australia,2020-05-15,6989,14,98,0,274.08,0.549,3.843,0,25499881,3.202,
Austria,2020-05-15,16005,41,626,2,1777.07,4.552,69.506,0.222,9006400,106.749,
Azerbaijan,2020-05-15,2879,121,35,0,283.948,11.934,3.452,0,10139175,119.309,
Burundi,2020-05-15,27,0,1,0,2.271,0,0.084,0,11890781,423.062,
Belgium,2020-05-15,54288,307,8903,60,4684.193,26.489,768.188,5.177,11589616,375.564,
Benin,2020-05-15,339,12,2,0,27.963,0.99,0.165,0,12123198,99.11,
Bonaire Sint Eustatius and Saba,2020-05-15,6,0,0,0,228.824,0,0,0,26221,,
Burkina Faso,2020-05-15,773,0,51,0,36.98,0,2.44,0,20903278,70.151,
Bangladesh,2020-05-15,18863,1041,283,14,114.537,6.321,1.718,0.085,164689383,1265.036,
Bulgaria,2020-05-15,2100,31,99,3,302.226,4.461,14.248,0.432,6948445,65.18,
Bahrain,2020-05-15,6198,382,10,0,3642.491,224.497,5.877,0,1701583,1935.907,
Bahamas,2020-05-15,96,2,11,0,244.121,5.086,27.972,0,393248,39.497,
Bosnia and Herzegovina,2020-05-15,2216,35,123,3,675.442,10.668,37.491,0.914,3280815,68.496,
Belarus,2020-05-15,26772,947,151,5,2833.219,100.219,15.98,0.529,9449321,46.858,
Belize,2020-05-15,18,0,2,0,45.269,0,5.03,0,397621,16.426,
Bermuda,2020-05-15,122,1,9,1,1959.116,16.058,144.525,16.058,62273,1308.82,
Bolivia,2020-05-15,3372,224,152,10,288.871,19.19,13.021,0.857,11673029,10.202,
Aruba,2020-05-16,102,1,4,1,946.994,1,29.099,1,106767,585.8,
Afghanistan,2020-05-16,5340,114,137,7,138.149,3.903,4.494,1.154,38928342,55.422,
Angola,2020-05-16,49,4,3,1,2.46,1.091,1.061,1,32866269,24.89,
Anguilla,2020-05-16,4,1,1,1,200.973,1,1,1,15003,,
Aruba,2020-05-16,102,1,4,1,946.994,1,29.099,1,106767,585.8,
Afghanistan,2020-05-16,5340,114,137,7,138.149,3.903,4.494,1.154,38928342,55.422,
Angola,2020-05-16,49,4,3,1,2.46,1.091,1.061,1,32866269,24.89,
Anguilla,2020-05-16,4,1,1,1,200.973,1,1,1,15003,,
